City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
351,bijie,27.3125,105.2942,279.06,89,100,1.71,CN,1676839154
352,kununurra,-15.7667,128.7333,300.14,83,75,3.09,AU,1676839209
353,berezovka,53.7214,25.4993,272.33,67,7,7.37,BY,1676839210
354,chodavaram,17.8333,82.95,297.06,87,0,0.77,IN,1676839210
355,lasa,46.6166,10.7002,282.64,82,21,3.32,IT,1676839211
356,pizarro,4.9533,-77.366,300.61,76,66,1.85,CO,1676839212
357,acarau,-2.8856,-40.12,299.43,80,100,5.17,BR,1676839213
358,yevsino,54.4172,83.3222,254.6,99,93,1.55,RU,1676839213
359,bejucal,22.9286,-82.3886,301.72,54,40,4.63,CU,1676839214
360,mokhsogollokh,61.4681,128.9203,241.98,100,98,1.71,RU,1676839214
361,vila franca do campo,37.7167,-25.4333,286.38,80,82,2.31,PT,1676839215
